,source,company,culture_and_values_rating,diversity_and_inclusion_rating,work_life_balance_rating,senior_management_rating,compensation_and_benefits_rating,career_opportunities_rating
0,glassdoor,airbnb,3.09,3.12,2.91,2.64,3.08,2.71
1,glassdoor,booking,3.05,3.2,2.92,2.64,2.9,2.59
2,glassdoor,tripadvisor,2.88,3.0,2.88,2.37,2.93,2.48
