,company,n_ratings,rating,culture_and_values_rating,work_life_balance_rating,senior_management_rating,compensation_and_benefits_rating,career_opportunities_rating
0,airbnb,401,4.19,2.49,2.38,2.18,2.43,2.21
1,booking,401,3.78,2.42,2.37,2.14,2.32,2.09
2,tripadvisor,332,3.85,3.06,3.07,2.57,3.1,2.58
