,source,company,job_work_and_life_balance_rating,compensation_and_benefits_rating,job_security_and_advancement_rating,management_rating,job_culture_rating
0,indeed,airbnb,1.85,1.78,1.71,1.72,1.89
1,indeed,booking,1.83,1.73,1.6,1.64,1.8
2,indeed,tripadvisor,3.37,3.35,2.75,2.88,3.33
